group	lib.size	norm.factors	eff.lib.size
E1-Q_ATCACG	1304122	0.424832986689487	554034.044267467
E1-R_CGATGT	1106364	1.93195434159058	2137444.73317952
E1-S_TTAGGC	1317645	0.447006803460301	588996.279545448
E1-T_TGACCA	1264271	0.660363826714035	834878.835563579
E1-V_ACAGTG	1168362	1.47875205036749	1727717.70307146
E1-X_GCCAAT	1125033	1.87006154665261	2103880.95201523
E2-Q_CAGATC	1232616	0.666945236346467	822087.369444437
E2-R_ACTTGA	1081268	2.14368148978634	2317894.19709829
E2-S_GATCAG	1266987	0.479199701671828	607139.792422085
E2-T_TAGCTT	1220406	0.532904917677351	650360.358962945
E2-V_GGCTAC	1123586	1.91603696694466	2152832.31154148
E2-X_CTTGTA	1086113	2.13361304793124	2317344.86832774
