	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Sterol biosynthesis	346.10499999999996	0.0	0.0	376.91	67.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.53	3.45	0.0	0.0	0.0	0.0	196.13	0.0	0.0	0.0	93.41999999999999	5.54
Glycosaminoglycan metabolism	46.870000000000005	4.005	0.0	30.199999999999996	59.08	14.9	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	6.58	0.0	0.0	0.0	49.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.35
Purine metabolism	381.9599999999999	0.0	5.33	12.37	57.73	0.0	0.0	0.0	2.21	0.0	0.0	25.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.129999999999999	0.0	9.81	0.0	0.0	0.0
Branched-chain amino acid metabolism	814.6099999999999	3.92	16.57	18.02	0.0	0.0	0.0	0.0	11.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.68	0.0	0.0	0.0	0.0	0.0	0.0	8.82	6.109999999999999	0.0	5.39	0.0
Spliceosome	2182.753333333333	81.77000000000001	69.31	133.53500000000003	17.06	0.0	0.0	10.0	0.0	24.54	0.0	0.0	0.0	60.300000000000004	2.61	32.19	4.13	924.46	0.0	0.0	0.0	0.0	36.24	0.0	26.09	19.27	0.0	29.490000000000002	32.42	2.72	43.49
Phosphate and amino acid transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribosome	10015.35	2131.85	908.17	721.37	1811.0100000000002	0.0	155.08	270.42	77.72	13.25	0.0	0.0	0.0	4.7	113.02	15.82	228.16	0.0	0.0	58.92	0.0	0.0	0.0	424.97	192.92000000000002	89.09	541.09	753.5799999999999	0.0	0.0	3991.095
Mineral and organic ion transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repair system	147.22	20.36	31.189999999999998	67.465	0.0	0.0	16.35	25.47	65.7	0.0	0.0	0.0	0.0	0.0	3.74	0.0	19.77	0.0	0.0	1.34	89.47	16.09	7.96	0.0	29.43	0.0	14.049999999999999	7.78	48.99	6.13	28.88
Sulfur metabolism	471.71000000000004	5.54	6.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.99
